id_mensalidade,id_aluno,mes_ano,valor,vencimento,data_pagamento,status,multa_valor
1,1,07/2026,385.0,10/07/2026,,A Receber,34.65
2,1,08/2026,385.0,10/08/2026,,A Receber,0.0
3,1,09/2026,385.0,10/09/2026,,A Receber,0.0
4,2,06/2026,230.0,10/06/2026,,A Receber,20.7
5,2,07/2026,230.0,10/07/2026,,A Receber,20.7
6,2,08/2026,230.0,10/08/2026,,A Receber,0.0
7,3,07/2026,410.0,10/07/2026,,A Receber,36.9
8,3,08/2026,410.0,10/08/2026,,A Receber,0.0
9,3,09/2026,410.0,10/09/2026,,A Receber,0.0
10,4,08/2026,704.0,10/08/2026,,A Receber,0.0
11,4,09/2026,704.0,10/09/2026,,A Receber,0.0
12,4,10/2026,704.0,10/10/2026,,A Receber,0.0
13,4,11/2026,704.0,10/11/2026,,A Receber,0.0
14,4,12/2026,704.0,10/12/2026,,A Receber,0.0
15,5,08/2026,280.0,10/08/2026,,A Receber,0.0
16,5,09/2026,280.0,10/09/2026,,A Receber,0.0
17,5,10/2026,280.0,10/10/2026,,A Receber,0.0
18,5,11/2026,280.0,10/11/2026,,A Receber,0.0
19,5,12/2026,280.0,10/12/2026,,A Receber,0.0
20,6,08/2026,320.0,10/08/2026,,A Receber,0.0
21,6,09/2026,320.0,10/09/2026,,A Receber,0.0
22,6,10/2026,320.0,10/10/2026,,A Receber,0.0
23,6,11/2026,320.0,10/11/2026,,A Receber,0.0
24,6,12/2026,320.0,10/12/2026,,A Receber,0.0
25,6,01/2027,320.0,10/01/2027,,A Receber,0.0
26,7,08/2026,638.0,10/08/2026,,A Receber,0.0
27,7,09/2026,638.0,10/09/2026,,A Receber,0.0
28,7,10/2026,638.0,10/10/2026,,A Receber,0.0
29,7,11/2026,638.0,10/11/2026,,A Receber,0.0
30,7,12/2026,638.0,10/12/2026,,A Receber,0.0
31,8,08/2026,400.0,10/08/2026,,A Receber,0.0
32,8,09/2026,400.0,10/09/2026,,A Receber,0.0
33,8,10/2026,400.0,10/10/2026,,A Receber,0.0
34,8,11/2026,400.0,10/11/2026,,A Receber,0.0
35,8,12/2026,400.0,10/12/2026,,A Receber,0.0
36,9,08/2026,407.0,10/08/2026,,A Receber,0.0
37,9,09/2026,407.0,10/09/2026,,A Receber,0.0
